price_per_sqm,total_meters,living_meters,kitchen_meters,rooms_count,floor,floors_count,floor_ratio,living_ratio,kitchen_ratio,building_age,year_of_construction,latitude,longitude,dist_to_center_km,dist_to_sea_km,infrastructure_count,security_score,has_intercom,has_closed_territory,has_code_door,has_garage,has_concierge,offer_photos_count,house_photos_count,has_plan_photo,rooms_category_1room,rooms_category_2room,rooms_category_3room,rooms_category_4plus,rooms_category_studio,floor_category_ground,floor_category_high,floor_category_low,floor_category_mid,floor_category_top,house_type_block,house_type_brick,house_type_monolith,house_type_other,house_type_panel,house_type_unknown,renovation_category_cosmetic,renovation_category_none,renovation_category_premium,renovation_category_standard,renovation_category_unknown,jk_class_category_business,jk_class_category_comfort,jk_class_category_premium,jk_class_category_unknown,building_age_category_modern,building_age_category_new,building_age_category_old,building_age_category_very_old,window_view_category_other,window_view_category_park,window_view_category_street,window_view_category_unknown,window_view_category_water,window_view_category_yard,district_unknown,district_Адмиралтейский жилой комплекс,district_Восточный,district_Восточный Луч,district_Зелёный Бульвар жилой комплекс,district_Ласточкино Гнездо,district_Ленинский,district_Лесной Квартал — 2,district_Микрорайон Снеговая падь,district_Новожилово,district_Первомайский,district_Первореченский,district_Седанка Хиллс,district_Советский,district_Таун Парк,district_Фрегат,district_Фрунзенский,district_жилой комплекс Восточный Луч,district_жилой комплекс Седанка Хиллс
227031.80212014134,56.6,46.0,0.0,0,9,25,0.36,0.8127208480565371,0.0,8.0,2018.0,43.121638,131.92534,4.474416256308987,2.473877606658049,2,3,1,1,1,1,1,33,50,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
254437.86982248523,16.9,14.9,1.0,0,9,9,1.0,0.8816568047337279,0.0591715976331361,47.0,1979.0,43.120949,131.908433,2.6164329158011714,2.6562559524425815,4,0,0,0,0,0,0,11,50,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
295446.64581160934,28.77,9.51,0.0,0,9,23,0.391304347826087,0.3305526590198123,0.0,-1.0,2027.0,43.098374,131.890789,1.989575212058237,3.2474403978239903,0,0,0,0,0,0,0,11,0,1,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
202040.81632653062,24.5,24.5,0.0,0,24,28,0.8571428571428571,1.0,0.0,-1.0,2027.0,43.112044,131.966142,8.959478368078505,5.293364224583688,5,2,1,1,0,0,1,6,0,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
324503.31125827815,30.2,0.0,7.0,0,4,21,0.19047619047619047,0.0,0.2317880794701987,8.0,2018.0,43.099215,131.898435,2.308467643145155,2.3953004006679435,0,0,0,0,0,0,0,21,50,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
347368.4210526316,47.5,0.0,2.0,0,8,24,0.3333333333333333,0.0,0.042105263157894736,8.0,2018.0,43.119407,131.896472,1.2928018657119866,3.3854061636667554,0,0,0,0,0,0,0,27,50,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
178111.5879828326,23.3,0.0,5.0,0,6,9,0.6666666666666666,0.0,0.2145922746781116,47.0,1979.0,43.13129,131.945165,6.850810226558555,4.457090695210654,0,0,0,0,0,0,0,21,50,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
160981.30841121497,42.8,0.0,7.0,0,19,24,0.7916666666666666,0.0,0.1635514018691589,3.0,2023.0,43.153845,131.925205,6.126984883451858,6.004654803737372,0,0,0,0,0,0,0,22,50,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
130281.69014084508,28.4,0.0,3.0,0,3,8,0.375,0.0,0.10563380281690142,20.0,2006.0,43.099318,131.864509,2.9419799939513602,6.15996618187068,0,0,0,0,0,0,0,17,50,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
214697.4063400576,34.7,0.0,0.0,0,5,24,0.20833333333333334,0.0,0.0,6.0,2020.0,43.168783,131.950451,9.3251300766937,8.34965321922313,0,0,0,0,0,0,0,23,50,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
