feature,importance
total_meters,0.7364194795892155
floors_count,0.04968821154324736
dist_to_center_km,0.025917327876174737
jk_class_category_business,0.020520942173000854
longitude,0.019453897920638043
kitchen_meters,0.01736442567670945
living_meters,0.012043988569443505
floor_ratio,0.0110247951224925
floor,0.009322940856972576
house_type_monolith,0.009143169101029983
living_ratio,0.008539209379732838
kitchen_ratio,0.008393883794107484
renovation_category_none,0.007836105652906758
latitude,0.007206264275538331
offer_photos_count,0.006350131843717184
renovation_category_premium,0.005734822420715591
house_photos_count,0.005213470862040786
dist_to_sea_km,0.005057467854676048
renovation_category_cosmetic,0.003865550626435483
house_type_panel,0.003639558673547271
rooms_count,0.0033665673719009046
jk_class_category_comfort,0.002107439177839401
building_age,0.0019676890586688475
rooms_category_2room,0.0018139916346225366
year_of_construction,0.0017089995862643874
renovation_category_standard,0.0016871584507548419
rooms_category_studio,0.001317295838523871
floor_category_mid,0.0013005574143510833
jk_class_category_unknown,0.0012434216542991383
rooms_category_1room,0.0011684088316290247
floor_category_high,0.0009244521036647361
rooms_category_3room,0.0008777979075225734
has_plan_photo,0.0008303961894436818
house_type_brick,0.0008166981587549953
building_age_category_old,0.0008055080847730587
floor_category_low,0.0007513130822793198
floor_category_ground,0.0006904553876976817
building_age_category_new,0.0005752550307026674
floor_category_top,0.0005372306120131671
building_age_category_modern,0.000502851726468888
house_type_unknown,0.0005018662399349745
house_type_block,0.00046712397268793297
security_score,0.00036980042101710366
jk_class_category_premium,0.00034103286169894057
has_intercom,0.00022556581737926657
has_closed_territory,0.0001946915225115123
has_concierge,0.00010658845037378634
has_code_door,5.765252823079374e-05
has_garage,6.547071648750342e-06
infrastructure_count,0.0
rooms_category_4plus,0.0
window_view_category_unknown,0.0
district_unknown,0.0
