feature,importance
house_type_monolith,0.16585891
jk_class_category_business,0.086453326
total_meters,0.08334203
renovation_category_premium,0.049085613
rooms_count,0.048341062
renovation_category_none,0.040521696
house_type_panel,0.03761093
has_closed_territory,0.03725476
dist_to_center_km,0.03259615
building_age_category_new,0.030202419
longitude,0.027410673
jk_class_category_unknown,0.02633234
jk_class_category_comfort,0.025991688
rooms_category_studio,0.02421258
floors_count,0.020504767
kitchen_meters,0.017474495
floor_category_ground,0.017372346
renovation_category_cosmetic,0.014404797
renovation_category_standard,0.014271195
building_age,0.011877241
kitchen_ratio,0.0116683915
jk_class_category_premium,0.011229751
has_code_door,0.011146664
building_age_category_modern,0.010502645
building_age_category_old,0.009735495
latitude,0.009049324
house_type_brick,0.008774087
living_meters,0.008697285
house_photos_count,0.008608535
house_type_block,0.00837665
offer_photos_count,0.007909059
year_of_construction,0.007788686
rooms_category_3room,0.0065017436
dist_to_sea_km,0.0059734844
living_ratio,0.005871689
floor_category_top,0.005782001
security_score,0.0056116427
rooms_category_1room,0.005308421
floor,0.005120008
has_intercom,0.004911988
floor_category_high,0.0047749183
house_type_unknown,0.0044403025
floor_category_low,0.004396916
rooms_category_2room,0.0042642937
floor_ratio,0.003589982
floor_category_mid,0.0033425137
has_plan_photo,0.0030856186
has_concierge,0.0022099572
has_garage,0.00020897276
infrastructure_count,0.0
rooms_category_4plus,0.0
window_view_category_unknown,0.0
district_unknown,0.0
